Affiliation,K2_count,Kepler_count,CarnegieClass
Université Pierre et Marie Curie,,40,-2.0
Beijing Normal University,,39,-2.0
Kyoto University,,39,-2.0
Université Denis Diderot,,34,-2.0
Centre de Saclay,,32,-2.0
SETI Institute,,28,-2.0
University of Florida,,25,15.0
Nanjing University,,24,-2.0
Tel Aviv University,,23,-2.0
Cornell University,,21,15.0
Institut d'Astrophysique Spatiale,,20,-2.0
Canadian Institute for oretical Astrophysics,,19,-2.0
Universidade Federal do Rio Grande do Norte,,17,-2.0
Université Paris-Saclay,,16,-2.0
Instituto de Astrofísica de Andalucía,,14,-2.0
Purple Mountain Observatory,,14,-2.0
University of California Observatories,,13,-3.0
Institute of Astronomy with NAO,,13,-2.0
University of Idaho,,13,16.0
Queen Mary University of London,,13,-2.0
Universität Hamburg,,12,-2.0
Katholieke Universiteit Leuven,,12,-2.0
High Altitude Observatory,,12,-3.0
University of Copenhagen,,11,-2.0
New York University Abu Dhabi,,11,-2.0
University of Wrocław,,10,-2.0
University of British Columbia,,10,-2.0
Zentrum für Astronomie der Universität Heidelberg,,10,-2.0
Nicolaus Copernicus University,,10,-2.0
115 Universitetska,,10,-2.0
Centre for Astronomy,,9,-2.0
Institut de Recherche en Astrophysique et Planétologie,,9,-2.0
Johns Hopkins University,,9,15.0
University of Szczecin,,9,-2.0
Institut für Astronomie,,9,-2.0
Niels Bohr Institute,,9,-2.0
San Jose State University,,9,18.0
Observatoire de la Côte d'Azur,,9,-2.0
University of Turku,,9,-2.0
Université Paris XI,,8,-2.0
University of Hawaii-Manoa,,8,15.0
Center for Space Science,,8,-2.0
Institut d'Astrophysique et de Géophysique de l'Université de Liège,,8,-2.0
NYUAD Institute,,8,-2.0
University of Texas at Arlington,,8,15.0
São Paulo State University (UNESP),,8,-2.0
Observatório Nacional,,8,-2.0
CEA/DSM-CNRS-Université Paris Diderot,,8,-2.0
Tohoku University,,8,-2.0
Mackenzie Presbyterian University,,8,-2.0
Florida Institute of Technology,,7,16.0
Institute for ory and Computation,,7,-2.0
Universität Tübingen,,7,-2.0
Liverpool John Moores University,,7,-2.0
Palacký University,,7,-2.0
211 Bryant Space Sciences Center,,7,-2.0
Institute for Astrophysics,,7,-2.0
Sternberg State Astronomical Institute,,7,-2.0
Max-Planck-Institut für Astrophysik,,7,-2.0
Institut d'Astrophysique et Géophysique de l'Université de Liège,,7,-2.0
Georg August University Göttingen,,7,-2.0
Fermilab Center for Particle Astrophysics,,7,-3.0
National Center for Atmospheric Research,,7,-3.0
University of Canakkale,,7,-2.0
Open University,,7,-2.0
Universidad Nacional de Córdoba,,6,-2.0
Royal Observatory of Belgium,,6,-2.0
Ankara University Faculty of Science Astronomy and Space Sciences Dept. Tandoğan Ankara 06100 TURKEY,,6,-2.0
Weizmann Institute of Science,,6,-2.0
Mt. Suhora Observatory of the Pedagogical University,,6,-2.0
University of Johannesburg,,6,-2.0
Universität Wien,,6,-2.0
University of Padua,,6,-2.0
Astronomical Institute Anton Pannekoek,,6,-2.0
Aix-Marseille Université,,6,-2.0
Universidad Nacional de La Plata,,6,-2.0
University of Virginia-Main Campus,,6,15.0
Centro de Astrofísica da Universidade do Porto,,6,-2.0
Pushkov Institute of Terrestrial Magnetism,,6,-2.0
University of Hyogo,,6,-2.0
Institut für Astronomie der Universität Wien,,6,-2.0
Baja Astronomical Observatory,,6,-2.0
Scottish Universities Physics Alliance (SUPA),,5,-2.0
Saint Mary's University of Minnesota,,5,17.0
Walter Burke Institute for oretical Physics,,5,-2.0
V. A. Ambartsumyan Byurakan Astrophysical Observatory,,5,-2.0
Uppsala University,,5,-2.0
University of Geneva,,5,-2.0
Université Paris-Sud,,5,-2.0
Université de Bordeaux,,5,-2.0
Astronomical Institute of the University of Wrocław,,5,-2.0
Centre for Astrophysics Research,,5,-2.0
Max Planck Institute for Astronomy,,5,-2.0
Center for Astronomy,,5,-2.0
Texas Tech University,,5,15.0
Universidade de São Paulo,,5,-2.0
Leibniz Institute for Astrophysics Potsdam (AIP),,5,-2.0
Homi Bhabha Centre for Science Education,,5,-2.0
Slovak University of Technology in Bratislava,,5,-2.0
Dezhou University,,5,-2.0
Université Paris 7 Diderot,,5,-2.0
College Lane,,5,-2.0
Astrophysics Research Institute,,5,-2.0
US Naval Observatory,,5,-3.0
Rochester Institute of Technology,,5,16.0
Dartmouth College,,5,15.0
Université PSL,,5,-2.0
Georg-August-Universität,,5,-2.0
Universität Göttingen,,5,-2.0
Kwasan and Hida Observatories,,5,-2.0
Université Côte d'Azur,,5,-2.0
Kiepenheuer-Institut für Sonnenphysik,,4,-2.0
Jeremiah Horrocks Institute of Astrophysics,,4,-2.0
Georgia Institute of Technology-Main Campus,,4,15.0
Cairo University,,4,-2.0
Max Planck Institute for Astrophysics,,4,-2.0
Tokyo Metropolitan University,,4,-2.0
Kiso Observatory,,4,-2.0
University of California-Santa Cruz,,4,15.0
Astrophysikalisches Institut und Universitäts-Sternwarte Jena,,4,-2.0
Nagoya University,,4,-2.0
Indian Institute of Astrophysics,,4,-2.0
Imperial College London,,4,-2.0
State University of New York at Albany,,4,15.0
University of Granada (UGR),,4,-2.0
Institut de Ciències de l'Espai (CSIC-IEEC),,4,-2.0
Université d'Aix-Marseille &amp,,4,-2.0
San Francisco State University,,4,16.0
Observatoire de l'Université de Genève,,4,-2.0
Université Paris-Diderot,,4,-2.0
Chungbuk National University,,4,-2.0
Institut für Planetenforschung,,4,-2.0
European Space Astronomy Center,,4,-2.0
3600 rue University,,4,-2.0
Universitätsplatz 5,,4,-2.0
Ankara University,,4,-2.0
150 W. University Blvd.,,4,-2.0
Observatoire Aquitain des Sciences de l'Univers,,4,-2.0
Physikalisches Institut,,4,-2.0
NASA Astrobiology Institute,,4,-2.0
Instituto Superior Técnico,,4,-2.0
Institute of Astronomy and Astrophysics,,3,-2.0
New Mexico State University-Dona Ana,,3,5.0
Universität Bern,,3,-2.0
Rensselaer Polytechnic Institute,,3,15.0
XMM-Newton Science Operations Center,,3,-2.0
University,,3,-2.0
Mississippi State University,,3,15.0
Xinjiang Astronomical Observatory,,3,-2.0
Danish AsteroSeismology Centre,,3,-2.0
University of Tabriz,,3,-2.0
University of Ljubljana,,3,-2.0
Tavrian National University,,3,-2.0
Center for Radio Astronomy and Astrophysics,,3,-2.0
McGill University,,3,-2.0
Brigham Young University,,3,16.0
Purdue University-Main Campus,,3,15.0
Catania Astrophysical Observatory,,3,-2.0
Carnegie Mellon University,,3,15.0
Indian Institute of Science,,3,-2.0
Pulkovo Astronomical Observatory,,3,-2.0
Polar Geophysical Institute,,3,-2.0
211 Bryant Space Science Center,,3,-2.0
Cheyne Walk Observatory,,3,-2.0
IRFU/SAp Centre de Saclay,,3,-2.0
Adam Mickiewicz University,,3,-2.0
Instituut voor Sterrenkunde (IvS),,3,-2.0
National Observatory of Athens,,3,-2.0
University of Utah,,3,15.0
Universidad de Antioquia,,3,-2.0
University of Pennsylvania,,3,15.0
Observatorio Astronómico de Córdoba,,3,-2.0
Eötvös Loránd University,,3,-2.0
Astronomical Institute 'Anton Pannekoek',,3,-2.0
University of Shumen,,3,-2.0
Hebrew University of Jerusalem,,3,-2.0
International Space Science Institute - Beijing,,3,-2.0
University of Southampton,,3,-2.0
Institute for Computational Astrophysics,,3,-2.0
Universidade Federal do Ceará,,3,-2.0
Centre for Mathematical Sciences,,3,-2.0
Universidade do Estado do Rio Grande do Norte,,3,-2.0
Centre for Planetary Sciences,,3,-2.0
Observatorio Astronómico,,3,-2.0
Ewha Womans University,,3,-2.0
