Affiliation,CarnegieClass,MergeName
37-575 M.I.T. Kavli Institute for Astrophysics and Space Research,15,Massachusetts Institute of Technology
American Association of Variable Star Observers,-2,American Association of Variable Star Observers (AAVSO)
American Association of Variable Star Observers (AAVSO),-3,American Association of Variable Star Observers (AAVSO)
Ames Research Center,-4,NASA Ames Research Center
and Center for Exoplanets and Habitable Worlds,15,The Pennsylvania State University
and Harvard-Smithsonian Center for Astrophysics,-3,Center for Astrophysics | Harvard & Smithsonian
and Kavli Institute for Astrophysics and Space Research,15,Massachusetts Institute of Technology
and NASA Exoplanet Science Institute,-4,NASA Exoplanet Science Institute/Caltech
and Planetary Sciences. Massachusetts Institute of Technology (MIT) Cambridge,15,Massachusetts Institute of Technology
Apache Point Observatory,-3,
Arizona State University,,Arizona State University Campus Immersion 
Astrophysics and Cosmology Center (PITT PACC),15,University of Pittsburgh-Pittsburgh Campus
BAER Institute/NASA Ames Research Center,-4,NASA Ames Research Center; BAER
Bay Area Environmental Research Institute,,NASA Ames Research Center
Bay Area Environmental Research Institute/NASA Ames Research Center,-4,NASA Ames Research Center; BAER
Blue Marble Space Institute of Science,-3,Blue Marble Space Institute of Science
Bowling Green State University,,Bowling Green State University-Main Campus 
Cahill Center for Astronomy and Astrophysics,15,California Institute of Technology
Cahill Center for Astrophysics,15,California Institute of Technology
California Institute of Technology 1200 East California Boulevard,15,California Institute of Technology
California Institute of Technology Division of Geological and Planetary Sciences,15,California Institute of Technology
California Institute of Technology MC 249-17,15,California Institute of Technology
California State Polytechnic University,,California State Polytechnic University-Pomona 
Caltech Optical Observatories,15,California Institute of Technology
Caltech/IPAC-NASA Exoplanet Science Institute,,NASA Exoplanet Science Institute/Caltech; IPAC/Caltech
Caltech/IPAC-NASA Exoplanet Science Institute Pasadena,,NASA Exoplanet Science Institute/Caltech; IPAC/Caltech
Carl Sagan Center for the Study of Life in the Universe,-3,SETI Institute
Carnegie Institution for Science,-3,Carnegie Institution for Science
Carnegie Institution of Washington,-3,Carnegie Institution for Science
Carnegie Observatories,-3,Carnegie Institution for Science
Center for Astronomy and Astrophysics,15,Yale University
Center for Astrophysics ∣ Harvard &amp,-3,Center for Astrophysics | Harvard & Smithsonian
Center for Astrophysics and Space Astronomy,15,University of Colorado Boulder
Center for Astrophysics and Space Science,15,University of California-San Diego
Center for Astrophysics and Space Sciences,15,University of California-Davis
Center for Astrophysics Harvard &amp,-3,Center for Astrophysics | Harvard & Smithsonian
Center for Astrophysics∣Harvard &amp,-3,Center for Astrophysics | Harvard & Smithsonian
Center for Computational Astrophysics,-3,Flatiron Institute
Center for Cosmology and Particle Physics,15,New York University
Center for Exoplanets and Habitable Worlds,15,The Pennsylvania State University
Center for Extrasolar Planetary Systems,-3,Space Science Institute
Center for Integrative Planetary Science,15,University of California-Berkeley
Center for Interdisciplinary Exploration and Research in Astrophysics,15,Northwestern University
Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA),15,Northwestern University
Center for Interdisciplinary Exploration and Research in Astrophysics Northwestern University 2145 Sheridan Road,15,Northwestern University
Center for Meteorite Studies,15,Arizona State University Campus Immersion
Center for Relativistic Astrophysics,15,Georgia Institute of Technology-Main Campus
Center for SETI Research,-3,SETI Institute
Center for Space and Atmospheric Research,18,Embry-Riddle Aeronautical University-Daytona Beach
Center for Space Research,15,The University of Texas at Austin
Centre for Astrophysics and Planetary Science,15,Cornell University
Centre for Cosmology and Particle Physics,15,New York University
Cerro Tololo Inter-American Observatory,-3,NOIRLab
College Park,15,University of Maryland-College Park
Columbia University,,Columbia University in the City of New York 
Cornell Center for Astrophysics and Planetary Science,,Cornell University
